# ID | judul | adegan | kategori | grammar | 核心 | 補充
B01|你會游泳嗎？|Klub olahraga kampus: menanyakan kemampuan olahraga|4|20,29|游泳 游泳池 跑步 慢跑 籃球 足球 網球 棒球 踢 跑|游
B02|週末你想做什麼？|Merencanakan akhir pekan bersama teman|4|39,35|有空 活動 參加 野餐 音樂 照相 相片/照片 故事 圖 一塊/一塊兒|
B03|我們去看比賽吧！|Membeli tiket & menonton pertandingan|4|22,79|比賽 票 門票 第一 場 名 次 棒 加油|聲2
B04|喂，你在做什麼呢？|Menelepon teman yang sedang sibuk|6|43,44|喂 聊天/聊 上網 網路 一下子/一下 一會/一會兒 最近 啊 呀 啦|電 網站
B05|歡迎歡迎！請進。|Bertamu ke rumah teman Taiwan|6|56,54|歡迎 客氣 不客氣 不好意思 麻煩 送 客廳 飯廳 祝|
B06|很高興認識你！|Pesta mahasiswa internasional: berkenalan dengan banyak orang|6,16|46,62|認識 高興 見面 交 別人 大人 小朋友 年輕 老人 各|其他/其它
B07|這是我的新家。|Pindah ke apartemen/asrama baru|2|84,32|搬家 搬 租 房租 房東 室友 宿舍 屋子/屋 大樓 大門|
B08|書房在樓上。|Tur keliling rumah: letak ruangan & benda|2|21,63|書房 樓上 樓下 樓梯 電梯 窗/窗戶/窗子 燈 冰箱 冷氣 洗手間|中間 對面
B09|我來幫你！|Bersih-bersih rumah bersama|2|58,53|幫 幫忙 幫助 乾淨 洗 放 掛 關 拉 把|壞
B10|我每天洗澡洗十分鐘。|Menceritakan kebiasaan harian yang lebih rinci|2|27,64|洗澡 習慣 平常 白天 總是 一直 週一 週日 禮拜|最後
B11|我從九點工作到五點。|Hari pertama magang di kantor|3|74,47|公司 辦公室 上班 下班 當1 計畫/計劃 經驗 能力 機會 開始|辦法 進步 有錢
B12|我爺爺以前是醫生。|Bercerita tentang kakek-nenek & masa kecil|1|59,30|爺爺 奶奶 叔叔/叔 伯伯/伯 阿姨 家庭 小時候 從前 後來 狗|馬 貓 隻 長2
B13|你的電話號碼是多少？|Mengisi formulir: alamat, nomor telepon, umur|1|66,88|地址 號碼 市 樣子 男生 女生 零 所有 全 全部|
